reason_type,bitmap_index,max_cost,mean_cost,min_cost,std_cost,n_samples,robustness
anti_reasons,11001111110110011000011101100110011001100011000111011100001110011001100110111000110000110000000110110111001100011011000001101101101111110110000011000111000110011011100110000011001100110011011110011100110011100011000111111111011100001111110000011111100111001101100111111000111001101110011100001110110011100110011011100111011110111101111101111111110011011100111111111011001100111111111110110111111101111111001111110011001110011111001111111111101110011111111111011111011111111101101110111111111111111111100011111111111111111111101111111111011111101111111111111111111111011011001101110011111111111111100111001100011111011100111110011111111101111110111101111110011110011111001110000111000011011101110111001100110011000011100011111101111001100011111001111110001100111100000110011001100011001100011001110111110111011110111111100001111111111101110011011001111111111000011111001100011100001100001100001111100011000111110110001111101110011110001100011110011011100110000001100001111101110011111100001100011110111111110011100011011110000011100001100110000001110000000011011110001100110011000001100000011100110011011110011110000011110000110000001110000000011000011000110000110000000001110001110000011000011000011000000111001110000111100000111000000110000011100011110000001101100110000110110000001100000111001110001110111011111011101110111111111111011011111111100011100111111100001100111111011000001111000110011100111111110011001111001110111111001110110001100001101111101111111111111111101100111101111100011011100110011100110011100111001111000000000111100000111111111001100000000110000000001100000000000011000011000000000111100001100110001101110011111111000011000000001111100000001110000000000001100000000011100001100001101110111011110000110111011111110000110000000111000000110001110011000110011110011110000110000011111000111011101111011011101101111111101111000111111100111110110111111000011011000110011000111111111101101101111111110110011101111100011011101110011111111100110000000011000110110011110001111110000110001111111001100011100111000111110011111111111100,352.34650079517303,304.4645928809134,276.2131457946439,16.512348174637925,26,0.44686577583175346
anti_reasons,11001111110110011000011101100110011001100011000111011100001110011001101110111000110000110000000110110111001100111011000001101101101111110110000011000011001110111001100110000011001100110011001110011100110011100011000111111111011100001111110000011111100111001101100111111000111001101110011100001110110011100110011011100111011110011101111101111111110011011100111111111011001100111111111110110111111001111111001111110011001110011111001111111111101100011111111111011111011111111101101110111111111111111111100011111111111111111111101111111111011111101111111111111111111111111011001111110011111111111111110111001100011111011100111110011111111101111110111101111110011110011111001110000111000011011101110111001100110011000011100011111101111001100011111001111110001100111100000110011001100011001100011001110111110111011110111111100001111111101101110011011001111111111000011111001100011100001100001100001111100011000111110110001111101110011110001100011110011011100110000001100001111101110011111100001100011110111111110011100011011110000011100001100110000001110000000011011110001100110011000001100000011000110011001110001110000011110000110000000110000000011000011000110000110000000001110001110000011000011000011000000111000110000111100000111000000110000001100011110000001101100110000110110000001100000111001110001110111011111011101110111111111111011011111111100011100111111100011100111111011000011111100110011100111111110011001111001110111011001110110001100001101101101111111111111111111100111101111100011011000111011000110011000111001111000000000111100000111111110001100000000110000000001100000000000011000011000000000111100001100110001101100011111110000011100000001111100000001100000000000001100000000011100001100001101110110011110000111110011111110000110000000111000000110001110011000110011111011100000111000011111000111011001111011011101101111111101111000111111000111110111111111110011011000110011000111111111101101101111111110110011001111111011011001110011111111100111000000011000110110011110001111110000110001111111001100011100111000111110011111111111100,351.355206636164,302.834159923917,275.4145227940367,16.706201524662596,26,0.4484219676041382
anti_reasons,11101111110110011000011101100110011001100011000111011100001110011001101110111000110000110000000110110111001100011011000001101101101111110110000011000111000110011001100110000011001100110011011110011100110011100011000111111111011100001111110000011111100111001101100111111000111001101110011100001110110011100110011011100111011110111101111101111111110011011101111111111011001100111111111110110111111001111111001111110011001111011111001111111111101100011111111111011111011111111101101110111111111111111111100011111111111111111111101111111111011111101111111111111111111111111011001101110111111111111111110111001100011111011101111110011111111101111110111101111110111110011111001110000111000011011001110111001100110011000011100011111101111001100011111001111110001100111100000110011001100011001100011001110111110111011110111111100001111111101101110011011001111111111000011111001100011100001100001100001111100011000111110110001111101110011110001101111110011011100110000001100001111101110011111100001100011110111111110011100011011110000011100001100110000001111000000011011110001100110011000001100000011100110011001110011110000011110000110000000110000000011000011000110000110000000001110001110000011000011000011000000111000110000111100000111000000110000001100011110000001101100110000110110000001100000111001110001110111011111011101110111111111111011011111111100011100111111100001100111111011000001111000110011100111111110011001111001110111011001110110001100001101101101111111111111111111100111101111100011011100110011000110011000111001111100000000111100000111111110001100000000111000000001100000000000011000011000000000111100001110110001101100011111110000011000000001111110000001100000000000001100000000011000001100001111100110011110000110111011111110000110000000111000000110001110011000110011111011100000110000011111000111011101111011011101101111111101111000111110000111110110111111000011011000110011000111111111101101101111111110110011001111100011011001110011111111100111000000011000110110011110001111110000110001111111001100011100111000111100011111111111100,351.28407469678837,302.3759122785253,273.73401845775373,16.959456677163818,26,0.4485336346989194
anti_reasons,11001111110110011000011101100110011001100011000111011100001110011001100110111000110000110000000110110111001100111011000001101101101111110110000011000111000110011001100110000011001100110011001110011100110011100011000111111111011100001111110000011111100111001101100111111000111001101110011100001110110011100110111011100111011110011101111101111111110011011100111111111011001100111111111110110111111001111111001111110011001110011111001111111111101100011111111111011111011111111101101110111111111111111111100011111111111111111111101111111111011111101111111111111111111111111011001101110011111111111111100111001100011111111100111110011111111101111110111101111110011110011111001110000111000011011001110111001101110011000011100011111101111001100011111001111110001100111100000110011001100011001100011001110111110111011110111111100001111111101101110011011001111111111000011111001100011100001110001100001111100011000111110111001111101110011110001100011110011011100110000001100001111101110011111100001100011111111111110011100011011110000001100001100110000001110000000011011110001100110011000001100000011100110011001110111110000011110000110000001110000000011000011000110000110000000001110001110000011000011000011000000111000110000111100000111000000110000001100011110000001101100110000110110000001100011111001110001110111011111011101110111111111111111011111111100011100111111100001100111111011000001111000110011100111111110011001111001110111011001110110001100001101101101111111111111111111100111101111100011011000110011000110011000111001111000000000111100000111111110001100000000110000000001100000000000011100011100000000111100001100110001101110011111110000011000000001111000000001110000000000001100000000011000001100001111100110011110000111110011111110000110000000111100000111001110011000110011110011110000110000011111000111011111111011011101101111111101111000111110000111110111111111000011011000110011001111111111101101101111111110110011001111100011011001110011111111100111000000011000110110011110001111110000110001111111001100011100111000111100011111111111100,350.6339782887843,301.8433484244957,274.0063505158911,16.64573150495555,26,0.4495541942091298
anti_reasons,11001111110110011000111101100110011001100011000111011100001110011001100110111000110000110000000110110111001100011011000001101101101111110110000011000111000110011001100110000011001100110011001110011100110011100011000111111111011100001111111000011111100111001101100111111000111001101110011100001110110011100110111011100111011110011101111101111111110011011101111111111011001100111111111110110111111001111111001111110011001110011111001111111111101110011111111111011111011111111101101110111111111111111111100011111111111111111111101111111111011111101111111111111111111111011111001101110011111111111111100111001100011111011101111110011111111101111110111101111110011110011111001110000111000011011001110111001100110011000011100011111101111001100011111001111110001100111100000110011001100011001110011001110111110111011110111111100001111111101101110011011001111111111000011111101100011100011100001100001111100011000111110110001111101110011110001100011110011011100110000001100001111101110011111100001100011110111111110011100011011110000001100001100110000011110000000011011110001100110011000001100000011100110011001110001110000011110000110000000110000000011000011000110000110000000001110001110000011000011000011000000111000110000111100000111000000110000001100011110000001101100110001110110000001100000111001110001110111011111011101110111111111111011011111111100011100111111100001100111111011000001111100110011100111111111011001111001110111011001110110001100001101111101111111111111111101100111101111110011011100110011000110011000111001111000000000111100000111111110001100000000110000000001100000000000011000011000000000111100001100110001101100011111110000011000000001111000000001100000000000001100000000011000001100001101100110011110000110110011111110000111000000111000000110001110011000110011111011100000111000011111000111011001111011011101101111111101111000111111000111110110111111000011011000110011000111111111101101101111111110110011101111100011011001110011111111100110000000011000110110011110001111110000110001111111001100011100111000111100011111111111100,350.49037655514456,301.6740885007061,273.33245287652994,16.80187924072449,26,0.4497796286418453
anti_reasons,11001111110110011000011101100110011001100011000111011100001110011001100110111000110000110000000110110111001100011011000001101101101111110110000011000011000110011001100110000011001100110011001110011100110011100111000111111111011100001111110000011111100111001101100111111000111001101110011100001110110111100110011011100111011110011101111101111111110011011100111111111011001100111111111110110111111001111111001111110011001110011111001111111111101100011111111111011111011111111101101110111111111111111111100011111111111111111111101111111111011111101111111111111111111111011011001101110011111111111111110111001100011111111100111110011111111101111110111101111110011110011111001110000111000011011101110111001101110011000011100011111101111001100011111001111110001100111100000110011001100011001100011001110111110111011110111111100001111111101101110011011001111111111000011111001100011100001100001100001111100011000111110110001111101110011110001100011110011011100110000001100001111101110011111100001100111111111111110011100011011111000001100001100110000001110000000011011110001100110011000001100000011000110011001110001110000011110000110000000110000000011000011000110000110000000001110001110000011000011000011000000111001110000111100000111000000110000011100011110000001101100110000110110000001100011111001110001110111011111011101110111111111111111011111111100011100111111100001100111111011000001111000110011100111111110011001111001110111111001110110001100001101101111111111111111111101100111101111100011011000111011000110011100111001111000000000111100000111111111001100000000110000000001100000000000011100011000000000111100001100110001101100011111110000011000000001111000000001100000000000001100000000011000001100001101100111011110000110110011111110000111000000111000000110001110011000111011110011100000110000011111000111011001111011011101101111111101111000111110000111110110111111000011011000110011101111111111101101101111111110110011001111100011011001110011111111100110000000011000110110011110001111110000110001111111001100011100111000111110011111111111100,350.3639335802889,302.3064284025067,274.7108647444081,16.660745969716224,26,0.44997812624758415
anti_reasons,11001111110110011000011101100110011001100011000111011100001110011001100110111000110000110000000110110111001100011011000001101101101111110110000011000011001110011001100110000011001100110011001110011100110011100011000111111111011100001111110000011111100111001101100111111000111001101110011100001110110011100110011011100111011110011101111101111111110011011100111111111011001100111111111110110111111001111111001111110011001110011111001111111111101100011111111111011111011111111101101110111111111111111111100011111111111111111111101111111111011111101111111111111111111111011111001101110111111111111111110111001100011111011100111110011111111101111110111101111110011110011111001110000111000011011001110111001100110011100011100011111101111001100011111001111110001110111100000110011011100011001100011001111111110111011110111111100001111111111101110011011001111111111000011111001100011100001100001100001111100011000111110110001111101111111110001100011110011011100110000001100001111101110011111100001100011110111111110011100011011110000011100001100110000001110000000011011110001100110011000001100000011000110011011110011110000011110000110000000110000000011000011000110000110000000001110111110000011000011000011000000111011110000111100000111000000110000001100011110000001101100110000110110000001100000111001110001110111011111011101110111111111111011011111111100011100111111100001100111111011000001111100110011100111111110011001111001110111111001110110001100001101101101111111111111111111100111101111110011011110110011100110011000111001111000000000111110000111111111001100000000110000000001100000000000011000011000000000111100001100110001101100011111111000011000000001111000000001100000000000001100000000011000001100001101100111011110000110110011111110000110000000111000000110001110011000110011111011110000110000011111000111011001111011011101101111111101111000111111000111110110111111100011011000110011000111111111101101101111111110111111001111100011011001110011111111100110000000011000110110011110001111110000110001111111001100011100111000111100011111111111100,350.33865786259906,303.07446880034377,275.8114258290749,16.52513158575736,26,0.4500178055532197
anti_reasons,11001111110110011000011101100110011001100011000111011100001110011001100110111000110000110000000110110111001100011011000001101101101111110110000011000011000110011011100110000011001100110011001110011100110011100011000111111111011100001111110000011111100111001101100111111000111001101110011100001110110011100110111011100111011110011101111101111111110011011100111111111011001100111111111110110111111001111111001111110011001111011111001111111111101100011111111111011111011111111101101110111111111111111111100011111111111111111111101111111111011111101111111111111111111111011011001101110011111111111111110111001100011111011100111110011111111101111110111101111110011110011111001110000111000011011001110111001100110011000011100011111101111001100011111001111110001110111100000110011001100011001100011001111111110111011110111111100001111111101101110011011001111111111000011111001100011100001110001100001111100011000111110110001111101110011110001100011110011011100110000001100001111101110011111100001100111110111111110011100011011110000001100001100110000001111000000011011110001100110011000001100000011000110011001110001110000011110000110000000110000000011000011000110001110000000001110001110000011000011000111000000111000110000111100000111000000110000011100011110000001101100110000110110000001100000111001110001110111011111011101110111111111111011011111111100011100111111100001100111111011000011111000110011100111111110011001111001110111111001110110001100001101101101111111111111111101100111101111100011011000111011100110011000111001111000000000111100000111111110001100000000110000000001100000000000011100011000000000111100001100110001101110011111110000011000000001111000000001100000000000001100000000011000001100001101100110011111000111110011111111000110000000111000000110001110011000110011110011111000110000011111000111011101111011011101101111111101111000111110000111110110111111000011011000110011100111111111101101101111111110111011101111100011011001110011111111100110000000011000110110011110001111110000110001111111001100011100111000111100011111111111100,350.3233568298163,302.1363953366183,274.3799090668846,16.642141968683767,26,0.45004182601284726
anti_reasons,11001111110110011000011101100110011001100011000111011100001110011001100110111000110000110000000110110111001100011011000001101101101111110110000011000111000110011001100110000011001100110011001110011100110011100011000111111111011100001111110000011111100111001101100111111000111001101110011100001110110011100110011011100111011110011101111101111111110011011100111111111011001100111111111110110111111001111111001111110011001111011111001111111111101100011111111111011111011111111101101110111111111111111111100011111111111111111111101111111111011111101111111111111111111111011011001101110011111111111111100111001100011111011101111110011111111101111110111101111110011110011111001110000111000011011001110111001100110011000011100011111101111001100011111101111110001100111100000110011011100011001110011001110111110111011110111111100001111111101101110011011001111111111000011111001100011100001110001100001111100011000111110110001111101110011110001101111110011011100110000001100001111101110011111100001100011110111111110011100011011110000011100001100110000001110000000011011110001100110011000001100000011000110111001110001110000111110000110000000110000000011000011000110000110000000001110111110000011000011000111000000111000110000111100000111000000110000111100011110000001101100110000110110000001100000111001110001110111011111011101110111111111111011011111111100011100111111100001100111111011000001111000110011100111111111011001111001110111011001110110001110001101101101111111111111111111100111101111111011011000110011000110011000111001111000000000111100000111111110001100000000110000000001100000000000011100011000000000111100001100110001101100011111110000011100000001111100000001100000000000001100000000011000001100001101100110011110000110111011111111000110000000111000000110001110011000110011111011111000110000011111000111011101111011011101101111111101111000111110000111110110111111000011011000110011000111111111101101101111111110110011001111100011011001110011111111100110000000011000110110011110001111110000110001111111001100011100111000111100111111111111100,350.1211957694339,302.0861559520738,273.91651680890755,16.643479237956605,26,0.4503591903148605
anti_reasons,11001111110110011000011101100110011001100011000111011100001110011001100110111000110000110000000110110111001100011011000001101101101111110110000011000011000110111001100110000011001100110011001110011100110011100011001111111111011100001111110000011111100111001101100111111000111001101110011100001110110011100110011011100111011110111101111101111111110011011100111111111011001100111111111110110111111001111111001111110011001111011111001111111111101100011111111111011111011111111101101110111111111111111111100011111111111111111111101111111111011111101111111111111111111111011111001101110011111111111111100111001100011111011100111110011111111101111110111101111110011110011111001110000111000011011001110111001100110011000011100011111101111001100011111001111110001110111100000110011001100011101110011001110111110111011110111111100011111111101101110011011001111111111000011111001100011100001100001100001111100011000111110111001111101110011110001100011110011011100110000001100001111101110011111100001100011110111111110011100011011110000001100001100110000001110000000011011110001100110011000001100000011000110011001110011110000011110000110000000110000000011000011000110000110000000001110001110000011000011000011000000111000110000111100000111000000110000001100011110000011101100110000110110000001100000111001110001110111011111011101110111111111111011011111111100011100111111100001100111111011000011111000110011100111111110011001111001110111011001110110001100001101101101111111111111111101100111101111110011011000110011000110011100111001111000000000111100000111111110001100000000111000000001100000000000011000011000000000111100001110110001101111111111110000011000000001111000000001100000000000001100000000011000001100001111100110011110000110111011111111000110000000111000000110001111011000110011110011100000110000011111000111011101111011011101101111111101111000111110000111110111111111000011011000110011000111111111101101101111111110110011001111100011011001110011111111100111000000011000110110011110001111110000110001111111001100011100111000111100011111111111100,349.8504786477228,300.7429650512386,272.69224512809024,16.74908171753242,26,0.45078417794705994
